department,year,base,unit,count
建築デザイン学科,1962,私立,学級,0
建築デザイン学科,1962,計,学科,0
建築デザイン学科,1962,計,学級,0
建築社会デザイン工学科,1962,国立,学科,0
建築社会デザイン工学科,1962,国立,学級,0
建築社会デザイン工学科,1962,公立,学科,0
建築社会デザイン工学科,1962,公立,学級,0
建築社会デザイン工学科,1962,私立,学科,0
建築社会デザイン工学科,1962,私立,学級,0
建築社会デザイン工学科,1962,計,学科,0
建築社会デザイン工学科,1962,計,学級,0
社会基盤工学科,1962,国立,学科,0
社会基盤工学科,1962,国立,学級,0
社会基盤工学科,1962,公立,学科,0
社会基盤工学科,1962,公立,学級,0
社会基盤工学科,1962,私立,学科,0
社会基盤工学科,1962,私立,学級,0
社会基盤工学科,1962,計,学科,0
社会基盤工学科,1962,計,学級,0
航空工学科,1962,国立,学科,0
航空工学科,1962,国立,学級,0
航空工学科,1962,公立,学科,0
航空工学科,1962,公立,学級,0
航空工学科,1962,私立,学科,0
航空工学科,1962,私立,学級,0
航空工学科,1962,計,学科,0
航空工学科,1962,計,学級,0
航空機体工学科,1962,国立,学科,0
航空機体工学科,1962,国立,学級,0
航空機体工学科,1962,公立,学科,1
航空機体工学科,1962,公立,学級,1
航空機体工学科,1962,私立,学科,0
航空機体工学科,1962,私立,学級,0
航空機体工学科,1962,計,学科,1
航空機体工学科,1962,計,学級,1
航空原動機工学科,1962,国立,学科,0
航空原動機工学科,1962,国立,学級,0
航空原動機工学科,1962,公立,学科,1
航空原動機工学科,1962,公立,学級,1
航空原動機工学科,1962,私立,学科,0
航空原動機工学科,1962,私立,学級,0
航空原動機工学科,1962,計,学科,1
航空原動機工学科,1962,計,学級,1
印刷工学科,1962,国立,学科,0
印刷工学科,1962,国立,学級,0
印刷工学科,1962,公立,学科,0
印刷工学科,1962,公立,学級,0
印刷工学科,1962,私立,学科,0
印刷工学科,1962,私立,学級,0
印刷工学科,1962,計,学科,0
印刷工学科,1962,計,学級,0
グラフィック工学科,1962,国立,学科,0
グラフィック工学科,1962,国立,学級,0
グラフィック工学科,1962,公立,学科,0
