学校コード,学校種,都道府県番号,設置区分１,本分校,学校名,学校所在地,郵便番号,属性情報設定年月日,属性情報廃止年月日,旧学校調査番号,移行後の学校コード
F113310102957,F1,13,3,1,学習院大学,豊島区目白１－５－１,1718588,2021-01-20,,2193,
F113310102966,F1,13,3,1,北里大学,港区白金５－９－１,1088641,2021-01-20,,2194,
F113310102975,F1,13,3,1,共立女子大学,千代田区一ツ橋２－２－１,1018437,2021-01-20,,2195,
F113310102984,F1,13,3,1,慶應義塾大学,港区三田２－１５－４５,1088345,2021-01-20,,2197,
F113310102993,F1,13,3,1,工学院大学,新宿区西新宿１－２４－２,1638677,2021-01-20,,2198,
F113310103000,F1,13,3,1,国学院大学,渋谷区東４－１０－２８,1508440,2021-01-20,,2199,
F113310103019,F1,13,3,1,国士舘大学,世田谷区世田谷４－２８－１,1548515,2021-01-20,,2200,
F113310103028,F1,13,3,1,駒澤大学,世田谷区駒沢１－２３－１,1540012,2021-01-20,,2201,
F113310103037,F1,13,3,1,実践女子大学,日野市大坂上４－１－１,1910061,2021-01-20,,2202,
F113310103046,F1,13,3,1,芝浦工業大学,江東区豊洲３－７－５,1358548,2021-01-20,,2203,
F113310103055,F1,13,3,1,順天堂大学,文京区本郷２－１－１,1138421,2021-01-20,,2204,
F113310103064,F1,13,3,1,上智大学,千代田区紀尾井町７－１,1028554,2021-01-20,,2205,
F113310103073,F1,13,3,1,昭和大学,品川区旗の台１－５－８,1428555,2021-01-20,,2206,
F113310103082,F1,13,3,1,昭和女子大学,世田谷区太子堂１－７－５７,1548533,2021-01-20,,2207,
F113310103091,F1,13,3,1,昭和薬科大学,町田市東玉川学園３－３１６５,1948543,2021-01-20,,2208,
F113310103108,F1,13,3,1,女子美術大学,杉並区和田１－４９－８,1668538　,2021-01-20,,2210,
F113310103117,F1,13,3,1,杉野服飾大学,品川区上大崎４－６－１９,1410021,2021-01-20,,2211,
F113310103126,F1,13,3,1,成城大学,世田谷区成城６－１－２０,1578511,2021-01-20,,2212,
F113310103135,F1,13,3,1,聖心女子大学,渋谷区広尾４－３－１,1500012,2021-01-20,,2213,
F113310103144,F1,13,3,1,清泉女子大学,品川区東五反田３－１６－２１,1410022,2021-01-20,,2214,
F113310103153,F1,13,3,1,聖路加国際大学,中央区明石町１０－１,1040044,2021-01-20,,2215,
F113310103162,F1,13,3,1,専修大学,千代田区神田神保町３－８,1018425,2021-01-20,,2216,
